ImageID	filename	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	ManuscriptID	NameID	Name	Digitized in Rose Digital Library	Online Repository	Digital Manuscript Link	Country	Locality	Institution	Shelfmark	Latitude	Longitude	PlaceID	Origin	Material	Number of folios	Height mm	Width mm	Area mm	Leaves per gathering	Lines per column	Number of illustrations	Date start	Date end	DateCombined	Columns per folio	Texts	Folios with 1 illustration	Folios with More than 1 illustration	Folios with at least one illustration	Folios with at least one illustration	Shelfmark	Olim		Langlois	Notes
Man073_f015	Man073_f015.JPEG	188	41.4189	97	32.7888	27	16.9512	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f016	Man073_f016.JPEG	175	36.4121	91	34.0225	27	9.8365	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f017	Man073_f017.JPEG	107	45.5893	114	42.6903	22	30.3085	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f018	Man073_f018.JPEG	194	37.9195	86	29.3103	28	16.7804	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f019	Man073_f019.JPEG	194	34.5994	66	24.3983	29	7.7253	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f020	Man073_f020.JPEG	200	37.1971	74	29.7233	29	10.0911	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f021	Man073_f021.JPEG	173	36.7065	92	28.682	26	8.9217	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f022	Man073_f022.JPEG	193	36.7856	91	29.9364	28	9.6426	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f023	Man073_f023.JPEG	204	37.0262	60	31.0423	29	14.913	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f024	Man073_f024.JPEG	204	36.8294	77	26.2851	29	11.6858	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
